epoch,blockNumber,strikeIndex,strike,amount,txType,premium,purchaseFee,netPnl,collateralTokenWithdrawAmount,rewardTokenWithdrawAmounts_DPX,rewardTokenWithdrawAmounts_JONES
3,25676674,0,28000000000,1000000000000000000,0,0,0,0,1000000000000000000,1130734397298857,282683599324645925
3,26005156,0,28000000000,24440000000000000000,0,0,0,0,24440000000000000000,8157240080840884,2039310020207878960
3,26061887,0,28000000000,54900000000000000000,0,0,0,0,54900000000000000000,8699215778615583,2174803944648300067
4,26227861,0,24000000000,191000000000000000,0,0,0,0,210711193670344153,2570265260014160,642566315003714622
4,26230273,0,24000000000,200000000000000000,0,0,0,0,220648804728135923,1167883055069806,291970763767500119
4,26231694,3,37500000000,1894000000000000000,0,0,0,0,1894000000000000000,6917905393570446,1729476348392755510
4,26232183,3,37500000000,21000000000000000000,0,0,0,0,21000000000000000000,74128135672648134,18532033918163397765
4,26232915,1,27500000000,5000000000000000000,0,0,0,0,5369240223402953728,18464416849585873,4616104212396774186
4,26235674,1,27500000000,5000000000000000000,1,158961085846924540,0,0,0,0,0
4,26237295,2,32500000000,1414000000000000000,0,0,0,0,1419235037266491460,4832924037285038,1208231009321335865
4,26240549,0,24000000000,10000000000000000000,0,0,0,0,11512166857804433344,36242291942068123,9060572985517383704
4,26247298,0,24000000000,10000000000000000000,0,0,0,0,11512166857804433344,35059423027906683,8764855756976919164
4,26247355,1,27500000000,21000000000000000000,0,0,0,0,21108311136603840767,67809339959785366,16952334989947111079
4,26249294,3,37500000000,20000000000000000000,0,0,0,0,20000000000000000000,63767111033045520,15941777758262066440
4,26249403,2,32500000000,4800000000000000000,0,0,0,0,4823549035157460780,15353962261871644,3838490565468073973
4,26254836,3,37500000000,9364000000000000000,0,0,0,0,9364000000000000000,29467056207172770,7366764051793476162
4,26264641,1,27500000000,1000000000000000000,0,0,0,0,1003087461299275172,3065163917357129,766290979339304547
4,26264835,0,24000000000,500000000000000000,0,0,0,0,552356287229948951,1627678508833088,406919627208278888
4,26272419,1,27500000000,2000000000000000000,0,0,0,0,2007192172077065958,5994532148236274,1498633037059100040
4,26273899,3,37500000000,6000000000000000000,0,0,0,0,6000000000000000000,17832369717408024,4458092429352091842
4,26280567,1,27500000000,9000000000000000000,0,0,0,0,9046419058544503186,26171918508739040,6542979627184826155
4,26280715,2,32500000000,10000000000000000000,0,0,0,0,10063991943501778084,29090001078624288,7272500269656141393
4,26280949,3,37500000000,9900000000000000000,0,0,0,0,9900000000000000000,28635438144883996,7158859536221067173
4,26283088,3,37500000000,43338000000000000000,0,0,0,0,43338000000000000000,124657519885753980,31164379971438730125
4,26312172,2,32500000000,14280000000000000000,0,0,0,0,14371380495320539104,39411513475264003,9852878368815907138
4,26371955,3,37500000000,100000000000000000000,0,0,0,0,100000000000000000000,253824768582534400,63456192145631139700
4,26376504,1,27500000000,4000000000000000000,0,0,0,0,4018453342068194366,10152649153973118,2538162288493175843
4,26376580,2,32500000000,30494000000000000000,1,77070125281295363,0,0,0,0,0
4,26389019,1,27500000000,15000000000000000000,0,0,0,0,15077365097574171976,37663855141999094,9415963785499341537
4,26403019,2,32500000000,22000000000000000000,0,0,0,0,22000000000000000000,54352683081924810,13588170770480516408
4,26419650,0,24000000000,20891000000000000000,1,1271440701048766119,0,0,0,0,0
4,26717480,0,24000000000,7500000000000000000,0,0,0,0,7894912044953660110,13996048637074053,3499012159267778701
4,26870991,1,27500000000,52929785345568533395,1,158690917369377067,0,0,0,0,0
4,26872470,2,32500000000,48494000000000000000,1,20498390975865687,0,0,0,0,0
4,26924970,0,24000000000,16164991817284720973,1,986398990930728360,0,0,0,0,0
4,27441124,0,24000000000,6164964339794497330,1,65769809764297980,0,0,0,0,0
5,27573731,1,26000000000,10000000000000000000,0,0,0,0,10276516975689501102,39702751482136416,9925687870535672855
5,27573800,2,29000000000,10000000000000000000,0,0,0,0,10000000000000000000,39351992633550770,9837998158389289890
5,27574199,3,35000000000,10000000000000000000,0,0,0,0,10000000000000000000,39232000832990530,9808000208249216160
5,27574419,0,22500000000,10000000000000000000,0,0,0,0,9749109590069762007,39180337696638210,9795084424161128860
5,27584213,3,35000000000,50000000000000000000,0,0,0,0,50000000000000000000,187435600332551350,46858900083144886300
5,27586512,0,22500000000,20000000000000000000,0,0,0,0,18996438360279048030,74507975698127480,18626993924534643320
5,27586542,1,26000000000,12000000000000000000,0,0,0,0,12344832935069230436,45076762958099344,11269190739526457230
5,27587117,1,26000000000,5000000000000000000,0,0,0,0,5124703733981923464,18742424545604585,4685606136401821097
5,27593592,1,26000000000,8000000000000000000,0,0,0,0,8212538539502098505,29686253846321682,7421563461581467005
5,27609423,0,22500000000,5000000000000000000,0,0,0,0,4937277397517440501,18072410812108550,4518102703027774595
5,27618978,3,35000000000,6000000000000000000,0,0,0,0,6000000000000000000,21450909100095108,5362727275024517838
5,27622511,1,26000000000,434000000000000000,0,0,0,0,443749856282675322,1557360618438083,389340154609572729
5,27629106,3,35000000000,9393000000000000000,0,0,0,0,9393000000000000000,33225747779239847,8306436944811083996
5,27641816,1,26000000000,5000000000000000000,0,0,0,0,5124703733981923464,17496312352247870,4374078088062517172
5,27641864,2,29000000000,6000000000000000000,0,0,0,0,6000000000000000000,20830571084662122,5207642771166207438
5,27667092,2,29000000000,1600000000000000000,0,0,0,0,1600000000000000000,5323329482448160,1330832370612197832
5,27667472,3,35000000000,10000000000000000000,0,0,0,0,10000000000000000000,33250425961328060,8312606490332997720
5,27714164,3,35000000000,3000000000000000000,0,0,0,0,3000000000000000000,9137755695996846,2284438923999424164
5,27853073,0,22500000000,5099999990000000000,0,0,0,0,5034743394633053316,13009380198002125,3252345049500645800
5,27920840,2,29000000000,50000000000000000000,0,0,0,0,50000000000000000000,110983023032388750,27745755758096677600
