index,epoch,blockNumber,strikeIndex,amount,txType
314,7,30038803,2,1.046,0
316,7,30040877,1,2.99,0
317,7,30040991,2,3.0,0
319,7,30047567,3,150.0,0
322,7,30048569,3,20.0,0
325,7,30059511,0,0.001,0
329,7,30071868,0,11.0,0
330,7,30071954,1,30.0,0
333,7,30075124,2,50.29,0
337,7,30086808,3,36.008,0
342,7,30111897,3,15.0,0
344,7,30129296,0,1.0,1
345,7,30194304,0,1.024,0
346,7,30257362,3,9.124,0
348,7,30272731,3,9.4525,0
349,7,30282323,1,15.0,0
350,7,30345396,0,0.024,0
351,7,30388033,0,0.001,0
353,7,30565138,1,20.0,0
354,7,30565247,2,20.0,0
355,7,30566240,0,0.004,0
356,7,30567094,0,0.09,1
357,7,30627839,1,30.0,1
359,7,30723221,1,0.0198,0
360,7,30910267,1,0.164,0
366,8,31478957,0,0.252,0
369,8,31482875,3,10.0,0
373,8,31498432,2,0.16496364892168683,0
375,8,31502039,2,1.05,0
377,8,31504517,2,13.0,0
382,8,31508172,0,1.0,0
383,8,31508257,1,5.3,0
384,8,31508398,0,11.0,0
385,8,31508729,1,30.0,0
389,8,31510283,1,30.0,1
390,8,31524594,2,2.108,0
392,8,31539733,0,36.1,0
394,8,31553068,3,9.4727,0
395,8,31557815,0,1.0,1
396,8,31588492,1,5.0,0
398,8,31591155,2,9.144,0
399,8,31602985,1,0.502,0
400,8,31634031,1,1.0,0
401,8,31736728,1,0.836,0
402,8,31793596,2,25.0,1
403,8,31793874,3,19.0,1
404,8,32075341,1,0.140084,0
405,8,32245232,0,0.2,1
406,8,32248711,0,0.005,0
407,8,32273656,0,1e-05,1
408,8,32342951,0,0.001,0
409,8,32409873,0,5e-05,0
410,8,32409945,0,5e-05,1
411,8,32410009,0,5e-05,1
412,8,32438487,0,0.1,1
413,8,32486518,0,0.0001,1
414,8,32486628,0,0.0001,0
416,8,32545091,0,0.001,0
417,8,32551642,0,0.0001,1
418,8,32552450,0,1e-05,1
419,8,32552872,0,1e-05,1
420,8,32555063,0,0.0001,1
421,8,32568538,0,0.003,0
422,8,32568841,0,0.001,1
423,8,32679071,3,1.0,0
424,8,32780776,3,2.406,0
425,8,32784117,3,3.87,1
426,8,32838356,1,0.001,1
427,8,33115313,0,0.001,0
440,9,33314339,0,0.852,0
444,9,33336535,2,5.0,0
445,9,33339042,0,0.2118,0
448,9,33342941,1,3.0,0
449,9,33343072,2,3.0,0
452,9,33347498,0,18.0,0
453,9,33347565,1,20.0,0
454,9,33349998,3,0.2455,0
457,9,33375185,3,0.57,0
458,9,33376377,3,50.0,0
459,9,33390786,3,10.0,0
461,9,33396283,3,2.4,0
462,9,33425627,3,0.176,0
463,9,33431952,3,0.33,0
464,9,33512545,0,0.01,0
465,9,33629227,0,0.0001,1
466,9,33709074,3,1.0,0
467,9,33721987,0,1.0,1
468,9,33723817,3,0.428,0
469,9,33804414,3,2.5,1
470,9,33806680,3,0.069,0
471,9,33834269,0,0.001,1
472,9,33905305,3,0.259,0
473,9,33917131,0,0.0001,1
476,9,33986551,3,5.0,1
477,9,34001198,2,39.1,0
478,9,34084122,3,100.0,0
479,9,34084557,2,5.0,1
480,9,34282254,0,0.78,0
481,9,34293949,0,0.005,0
482,9,34314186,3,10.0,1
484,9,34428369,0,1e-06,1
485,9,34482439,3,5.0,1
